Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-01-02 03:00,1,0.78,23,24
2023-01-02 03:00,1,0.50,36,36
2023-01-02 02:55,9,0.61,29,40
2023-01-02 02:55,3,0.49,37,47
2023-01-02 02:50,1,0.00,0,0
2023-01-02 02:50,2,0.74,24,24
2023-01-02 02:45,5,0.65,28,44
2023-01-02 02:45,4,0.47,38,53
2023-01-02 02:40,9,0.82,22,41
2023-01-02 02:40,3,0.42,42,56
2023-01-02 02:35,13,0.60,30,46
2023-01-02 02:35,2,0.55,33,57
2023-01-02 02:30,4,0.54,33,45
2023-01-02 02:30,1,1.16,16,16
2023-01-02 02:25,2,0.52,34,37
2023-01-02 02:25,1,1.63,11,11
2023-01-02 02:20,5,0.52,35,45
2023-01-02 02:20,1,0.44,41,41
2023-01-02 02:15,3,0.60,30,32
2023-01-02 02:15,5,0.54,34,42
2023-01-02 02:10,4,0.45,40,58
2023-01-02 02:10,2,0.44,41,42
2023-01-02 02:05,5,0.64,28,37
2023-01-02 02:05,2,0.70,26,33
2023-01-02 02:00,7,0.63,28,42
2023-01-02 02:00,1,1.16,16,16
2023-01-02 01:55,4,0.60,30,44
2023-01-02 01:55,4,0.53,34,50
2023-01-02 01:50,6,1.31,14,26
2023-01-02 01:50,4,0.72,25,37
2023-01-02 01:45,5,0.65,28,41
2023-01-02 01:45,1,0.50,36,36
2023-01-02 01:40,0,0.00,0,0
2023-01-02 01:40,4,0.41,43,45
2023-01-02 01:35,9,0.51,35,46
2023-01-02 01:35,2,0.51,36,37
2023-01-02 01:30,6,0.50,36,49
2023-01-02 01:30,2,0.83,22,31
2023-01-02 01:25,4,0.66,27,41
2023-01-02 01:25,1,0.77,23,23
2023-01-02 01:20,7,0.77,23,36
2023-01-02 01:20,3,0.57,32,45
2023-01-02 01:15,11,1.75,10,21
2023-01-02 01:15,9,0.87,21,37
2023-01-02 01:10,7,0.67,27,39
2023-01-02 01:10,1,1.53,12,12
2023-01-02 01:05,9,0.59,30,39
2023-01-02 01:05,2,0.43,41,43
2023-01-02 01:00,6,0.52,35,43
2023-01-02 01:00,6,0.60,30,39
2023-01-02 00:55,3,0.68,26,36
2023-01-02 00:55,1,0.84,22,22
2023-01-02 00:50,5,0.75,24,34
2023-01-02 00:50,3,0.98,18,24
2023-01-02 00:45,9,0.96,19,32
2023-01-02 00:45,6,0.65,28,40
2023-01-02 00:40,9,0.66,27,40
2023-01-02 00:40,2,0.79,23,27
2023-01-02 00:35,11,0.75,24,36
2023-01-02 00:35,1,2.22,8,18
2023-01-02 00:30,8,0.49,37,42
2023-01-02 00:30,3,0.48,38,61
2023-01-02 00:25,8,0.64,28,39
2023-01-02 00:25,3,0.66,27,39
2023-01-02 00:20,6,0.49,37,40
2023-01-02 00:20,2,0.50,36,36
2023-01-02 00:15,5,0.77,23,36
2023-01-02 00:15,0,0.00,0,0
2023-01-02 00:10,8,0.65,28,39
2023-01-02 00:10,4,0.61,29,42
2023-01-02 00:05,9,0.87,21,38
2023-01-02 00:05,4,0.79,23,37
2023-01-02 00:00,9,0.72,25,37
2023-01-02 00:00,6,0.75,24,40
2023-01-01 23:55,11,0.57,32,42
2023-01-01 23:55,1,1.01,18,25
2023-01-01 23:50,5,0.76,24,38
2023-01-01 23:50,4,1.04,17,37
2023-01-01 23:45,10,0.80,22,40
2023-01-01 23:45,6,0.57,31,52
2023-01-01 23:40,14,0.73,25,39
2023-01-01 23:40,6,0.56,32,50
2023-01-01 23:35,8,0.65,28,42
2023-01-01 23:35,2,0.52,34,63
2023-01-01 23:30,13,0.89,20,35
2023-01-01 23:30,3,0.47,39,42
2023-01-01 23:25,7,0.54,34,45
2023-01-01 23:25,5,0.46,39,43
2023-01-01 23:20,11,0.83,22,38
2023-01-01 23:20,2,0.48,37,37
2023-01-01 23:15,9,0.75,24,40
2023-01-01 23:15,4,1.21,15,28
2023-01-01 23:10,7,0.61,30,46
2023-01-01 23:10,6,0.69,26,47
2023-01-01 23:05,12,0.57,32,40
2023-01-01 23:05,6,0.45,40,49
2023-01-01 23:00,8,0.79,23,35
2023-01-01 23:00,2,0.00,0,0
2023-01-01 22:55,15,0.86,21,33
2023-01-01 22:55,8,1.10,16,32
2023-01-01 22:50,12,0.93,19,34
2023-01-01 22:50,5,0.87,21,32
2023-01-01 22:45,11,0.85,21,37
2023-01-01 22:45,5,0.74,24,42
2023-01-01 22:40,14,0.75,24,39
2023-01-01 22:40,6,0.58,31,47
2023-01-01 22:35,10,0.81,22,36
2023-01-01 22:35,3,0.59,31,41
2023-01-01 22:30,42,1.31,14,23
2023-01-01 22:30,10,0.65,28,41
2023-01-01 22:25,13,1.10,16,33
2023-01-01 22:25,38,0.85,21,36
2023-01-01 22:20,6,0.91,20,27
2023-01-01 22:20,6,1.00,18,36
2023-01-01 22:15,38,0.58,31,43
2023-01-01 22:15,8,0.67,27,36
2023-01-01 22:10,16,0.76,24,35
2023-01-01 22:10,5,0.65,28,39
2023-01-01 22:05,17,0.88,21,37
2023-01-01 22:05,13,0.57,32,46
