Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 03:45,3,1.43,25,25
2023-03-20 03:45,10,2.93,69,76
2023-03-20 03:40,7,8.88,38,39
2023-03-20 03:40,9,10.26,0,0
2023-03-20 03:35,3,0.89,0,0
2023-03-20 03:35,7,3.82,34,73
2023-03-20 03:30,3,0.53,0,0
2023-03-20 03:30,2,0.76,0,0
2023-03-20 03:25,3,0.40,0,0
2023-03-20 03:25,5,2.07,57,79
2023-03-20 03:20,2,1.01,0,0
2023-03-20 03:20,3,2.00,0,0
2023-03-20 03:15,1,0.58,82,82
2023-03-20 03:15,5,1.62,81,96
2023-03-20 03:10,1,0.74,0,0
2023-03-20 03:10,3,1.65,0,0
2023-03-20 03:05,3,0.53,45,77
2023-03-20 03:05,3,1.09,60,60
2023-03-20 03:00,4,2.43,64,70
2023-03-20 03:00,4,3.71,0,0
2023-03-20 02:55,1,0.69,0,0
2023-03-20 02:55,6,2.05,54,54
2023-03-20 02:50,2,0.44,51,51
2023-03-20 02:50,8,2.70,66,74
2023-03-20 02:45,2,0.70,60,60
2023-03-20 02:45,7,2.23,67,72
2023-03-20 02:40,5,3.33,29,29
2023-03-20 02:40,8,4.16,62,70
2023-03-20 02:35,1,0.32,0,0
2023-03-20 02:35,4,1.53,72,72
2023-03-20 02:30,8,1.81,46,62
2023-03-20 02:30,8,2.75,67,75
2023-03-20 02:25,6,2.03,31,31
2023-03-20 02:25,11,4.24,83,96
2023-03-20 02:20,3,0.73,48,50
2023-03-20 02:20,6,1.52,61,65
2023-03-20 02:15,6,1.31,63,63
2023-03-20 02:15,7,3.32,76,76
2023-03-20 02:10,4,1.01,65,83
2023-03-20 02:10,4,2.17,59,69
2023-03-20 02:05,4,1.32,46,46
2023-03-20 02:05,9,3.05,64,64
2023-03-20 02:00,4,1.08,0,0
2023-03-20 02:00,5,2.82,69,75
2023-03-20 01:55,6,1.45,49,58
2023-03-20 01:55,8,3.42,49,49
2023-03-20 01:50,6,1.72,0,0
2023-03-20 01:50,9,2.99,51,71
2023-03-20 01:45,5,3.53,45,45
2023-03-20 01:45,9,5.14,68,73
2023-03-20 01:40,6,1.96,63,63
2023-03-20 01:40,14,20.62,66,71
2023-03-20 01:35,10,8.50,28,62
2023-03-20 01:35,8,10.52,43,94
2023-03-20 01:30,7,2.05,0,0
2023-03-20 01:30,11,4.38,64,69
2023-03-20 01:25,6,1.25,63,63
2023-03-20 01:25,15,4.02,76,114
2023-03-20 01:20,6,4.01,25,27
2023-03-20 01:20,7,6.78,57,79
2023-03-20 01:15,8,7.03,0,0
2023-03-20 01:15,7,9.30,0,0
