Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 10:00,51,32.67,55,84
2023-03-20 10:00,40,34.38,34,49
2023-03-20 09:55,83,64.72,41,55
2023-03-20 09:55,65,61.17,36,48
2023-03-20 09:50,65,63.93,44,87
2023-03-20 09:50,43,61.47,31,37
2023-03-20 09:45,74,69.75,44,59
2023-03-20 09:45,57,33.32,35,48
2023-03-20 09:40,62,80.21,31,38
2023-03-20 09:40,46,82.54,36,53
2023-03-20 09:35,83,73.04,31,42
2023-03-20 09:35,107,75.62,28,36
2023-03-20 09:30,59,77.76,27,44
2023-03-20 09:30,60,75.24,35,52
2023-03-20 09:25,72,28.74,42,63
2023-03-20 09:25,69,26.61,34,42
2023-03-20 09:20,50,26.78,51,74
2023-03-20 09:20,49,21.79,34,39
2023-03-20 09:15,68,50.10,40,57
2023-03-20 09:15,68,41.39,32,37
2023-03-20 09:10,65,45.55,38,52
2023-03-20 09:10,54,40.17,39,60
2023-03-20 09:05,74,27.48,51,77
2023-03-20 09:05,59,25.84,42,60
2023-03-20 09:00,70,69.31,45,76
2023-03-20 09:00,55,61.73,34,47
2023-03-20 08:55,75,53.79,44,67
2023-03-20 08:55,70,64.09,40,49
2023-03-20 08:50,51,21.25,37,54
2023-03-20 08:50,46,30.86,52,90
2023-03-20 08:45,78,27.03,49,61
2023-03-20 08:45,52,32.18,36,59
2023-03-20 08:40,49,35.93,45,63
2023-03-20 08:40,36,31.67,37,52
2023-03-20 08:35,81,54.39,40,58
2023-03-20 08:35,60,51.34,35,45
2023-03-20 08:30,65,40.01,37,45
2023-03-20 08:30,41,32.38,33,41
2023-03-20 08:25,78,29.55,41,48
2023-03-20 08:25,49,24.36,34,40
2023-03-20 08:20,59,25.38,42,52
2023-03-20 08:20,44,32.88,35,65
2023-03-20 08:15,74,43.85,50,83
2023-03-20 08:15,56,43.93,32,40
2023-03-20 08:10,55,23.26,36,54
2023-03-20 08:10,43,23.28,35,48
2023-03-20 08:05,63,23.66,55,85
2023-03-20 08:05,43,18.90,45,59
2023-03-20 08:00,56,33.46,55,90
2023-03-20 08:00,36,27.53,43,55
2023-03-20 07:55,88,65.47,38,50
2023-03-20 07:55,64,71.07,33,44
2023-03-20 07:50,56,23.61,41,61
2023-03-20 07:50,40,18.86,35,53
2023-03-20 07:45,72,25.30,54,90
2023-03-20 07:45,52,20.85,42,52
2023-03-20 07:40,41,17.33,49,57
2023-03-20 07:40,37,13.75,43,50
2023-03-20 07:35,56,24.36,41,63
2023-03-20 07:35,52,22.13,39,49
2023-03-20 07:30,59,18.20,50,62
2023-03-20 07:30,40,15.43,45,54
2023-03-20 07:25,57,23.94,52,79
2023-03-20 07:25,53,18.21,38,45
2023-03-20 07:20,56,24.25,43,54
2023-03-20 07:20,37,15.42,40,52
2023-03-20 07:15,63,29.43,48,63
2023-03-20 07:15,53,34.65,35,53
2023-03-20 07:10,53,37.33,42,59
2023-03-20 07:10,43,55.30,37,50
2023-03-20 07:05,71,62.63,47,86
2023-03-20 07:05,66,48.65,35,45
2023-03-20 07:00,45,21.69,47,66
2023-03-20 07:00,33,17.65,37,52
2023-03-20 06:55,37,21.98,55,81
2023-03-20 06:55,32,13.75,44,63
2023-03-20 06:50,42,23.73,51,59
2023-03-20 06:50,40,16.03,45,51
2023-03-20 06:45,42,32.71,52,90
2023-03-20 06:45,47,30.56,38,50
2023-03-20 06:40,57,37.96,51,63
2023-03-20 06:40,46,21.65,42,49
2023-03-20 06:35,39,36.91,53,73
2023-03-20 06:35,38,33.35,46,56
2023-03-20 06:30,41,28.00,50,62
2023-03-20 06:30,45,25.98,46,58
2023-03-20 06:25,43,16.31,60,86
2023-03-20 06:25,43,16.68,44,57
2023-03-20 06:20,32,33.11,56,79
2023-03-20 06:20,33,12.33,50,62
2023-03-20 06:15,41,28.67,48,55
2023-03-20 06:15,40,28.02,47,59
2023-03-20 06:10,27,12.49,52,58
2023-03-20 06:10,21,8.72,49,58
2023-03-20 06:05,27,11.22,52,61
2023-03-20 06:05,24,9.00,49,60
2023-03-20 06:00,21,10.10,50,59
2023-03-20 06:00,21,6.80,48,54
2023-03-20 05:55,21,8.02,57,71
2023-03-20 05:55,27,17.76,49,55
2023-03-20 05:50,13,6.86,68,94
2023-03-20 05:50,16,10.09,53,63
2023-03-20 05:45,14,8.27,47,49
2023-03-20 05:45,17,6.26,58,83
2023-03-20 05:40,23,8.65,50,57
2023-03-20 05:40,19,9.04,47,54
2023-03-20 05:35,10,6.32,47,54
2023-03-20 05:35,11,4.92,55,67
2023-03-20 05:30,18,21.82,56,66
2023-03-20 05:30,11,4.20,49,55
2023-03-20 05:25,17,4.71,49,54
2023-03-20 05:25,9,4.14,50,53
2023-03-20 05:20,19,4.31,51,59
2023-03-20 05:20,11,4.04,49,56
2023-03-20 05:15,13,7.48,58,62
2023-03-20 05:15,15,61.23,44,56
2023-03-20 05:10,8,12.48,54,60
2023-03-20 05:10,13,74.37,50,58
2023-03-20 05:05,11,5.11,57,64
2023-03-20 05:05,16,27.47,47,55
2023-03-20 05:00,6,3.97,63,81
2023-03-20 05:00,6,2.19,49,53
2023-03-20 04:55,8,8.22,53,59
2023-03-20 04:55,6,3.13,46,54
2023-03-20 04:50,7,2.84,56,63
2023-03-20 04:50,9,21.45,45,59
2023-03-20 04:45,6,2.96,56,61
2023-03-20 04:45,10,6.80,51,64
2023-03-20 04:40,3,2.75,48,50
2023-03-20 04:40,8,3.47,53,62
2023-03-20 04:35,10,3.18,52,58
2023-03-20 04:35,5,2.51,50,51
2023-03-20 04:30,11,3.55,50,59
2023-03-20 04:30,16,10.47,43,52
2023-03-20 04:25,5,3.02,57,57
2023-03-20 04:25,7,10.54,53,60
2023-03-20 04:20,10,2.63,52,56
2023-03-20 04:20,7,7.39,49,60
2023-03-20 04:15,5,2.85,47,53
2023-03-20 04:15,7,8.52,45,50
2023-03-20 04:10,2,1.76,58,58
2023-03-20 04:10,3,12.46,46,51
2023-03-20 04:05,9,2.59,54,61
2023-03-20 04:05,4,2.53,58,72
2023-03-20 04:00,9,3.23,53,56
2023-03-20 04:00,8,3.11,71,108
2023-03-20 03:55,10,3.98,55,61
2023-03-20 03:55,11,4.13,68,120
2023-03-20 03:50,13,4.76,50,57
2023-03-20 03:50,9,4.48,47,57
2023-03-20 03:45,6,2.45,57,63
2023-03-20 03:45,3,1.59,45,45
2023-03-20 03:40,9,10.02,55,63
2023-03-20 03:40,7,13.62,42,52
2023-03-20 03:35,9,3.55,64,76
2023-03-20 03:35,7,7.86,44,52
2023-03-20 03:30,1,1.22,59,59
2023-03-20 03:30,4,1.29,43,51
2023-03-20 03:25,4,2.65,50,58
2023-03-20 03:25,2,1.37,40,40
2023-03-20 03:20,3,2.95,51,56
2023-03-20 03:20,7,3.72,43,51
2023-03-20 03:15,5,2.04,46,51
2023-03-20 03:15,4,1.61,43,43
2023-03-20 03:10,4,2.07,57,60
2023-03-20 03:10,7,2.05,53,59
2023-03-20 03:05,5,1.90,66,80
2023-03-20 03:05,8,2.07,50,63
2023-03-20 03:00,10,3.23,50,55
2023-03-20 03:00,6,2.24,93,0
2023-03-20 02:55,4,2.50,69,81
2023-03-20 02:55,4,2.09,38,43
2023-03-20 02:50,6,3.88,51,62
2023-03-20 02:50,7,3.30,62,102
2023-03-20 02:45,10,3.44,55,66
2023-03-20 02:45,10,43.25,43,51
2023-03-20 02:40,13,3.91,52,66
2023-03-20 02:40,5,2.58,47,62
2023-03-20 02:35,4,1.45,49,49
2023-03-20 02:35,0,0.69,0,0
2023-03-20 02:30,4,3.04,60,60
2023-03-20 02:30,6,5.16,57,75
2023-03-20 02:25,13,4.51,56,63
2023-03-20 02:25,7,3.41,47,59
2023-03-20 02:20,5,2.46,53,60
2023-03-20 02:20,50,20.12,53,61
2023-03-20 02:15,9,3.42,53,63
2023-03-20 02:15,4,3.78,52,63
2023-03-20 02:10,11,3.92,56,69
2023-03-20 02:10,8,3.81,52,68
2023-03-20 02:05,9,3.81,52,62
2023-03-20 02:05,6,2.43,54,60
2023-03-20 02:00,7,4.64,55,66
2023-03-20 02:00,9,5.10,45,64
2023-03-20 01:55,11,4.52,49,53
2023-03-20 01:55,10,4.03,45,55
2023-03-20 01:50,8,3.16,45,52
2023-03-20 01:50,4,1.90,59,66
2023-03-20 01:45,10,3.71,52,66
2023-03-20 01:45,5,2.76,54,58
2023-03-20 01:40,8,19.37,56,63
2023-03-20 01:40,5,16.98,52,56
2023-03-20 01:35,10,8.82,54,63
2023-03-20 01:35,5,47.49,42,55
2023-03-20 01:30,10,4.53,56,63
2023-03-20 01:30,9,44.18,50,56
2023-03-20 01:25,11,4.71,57,62
2023-03-20 01:25,8,2.99,43,50
2023-03-20 01:20,18,6.66,51,60
2023-03-20 01:20,16,8.48,52,63
2023-03-20 01:15,19,6.45,52,62
2023-03-20 01:15,14,12.64,48,62
2023-03-20 01:10,12,14.00,54,61
2023-03-20 01:10,26,31.34,41,51
2023-03-20 01:05,23,6.48,55,63
2023-03-20 01:05,15,18.69,49,62
2023-03-20 01:00,10,4.63,55,63
2023-03-20 01:00,10,16.15,50,59
2023-03-20 00:55,16,5.78,55,65
2023-03-20 00:55,18,8.82,45,52
2023-03-20 00:50,9,4.98,55,63
2023-03-20 00:50,12,4.68,46,56
2023-03-20 00:45,9,4.25,66,76
2023-03-20 00:45,11,4.12,47,58
2023-03-20 00:40,15,6.22,61,95
2023-03-20 00:40,15,5.20,47,56
2023-03-20 00:35,17,7.74,55,67
2023-03-20 00:35,14,6.11,49,55
2023-03-20 00:30,19,7.83,52,61
2023-03-20 00:30,19,13.87,46,52
2023-03-20 00:25,23,8.17,51,63
2023-03-20 00:25,12,6.42,50,59
2023-03-20 00:20,19,6.00,58,69
2023-03-20 00:20,12,4.70,59,72
2023-03-20 00:15,27,8.49,58,68
2023-03-20 00:15,19,6.43,52,66
2023-03-20 00:10,20,9.77,62,74
2023-03-20 00:10,15,4.99,52,68
2023-03-20 00:05,20,17.12,55,65
2023-03-20 00:05,19,6.69,53,67
2023-03-20 00:00,27,9.54,56,61
2023-03-20 00:00,19,7.22,56,64
2023-03-19 23:55,24,8.52,58,67
2023-03-19 23:55,22,6.83,50,60
2023-03-19 23:50,20,8.68,57,65
2023-03-19 23:50,14,5.21,55,71
2023-03-19 23:45,41,14.90,57,78
2023-03-19 23:45,42,64.51,48,58
2023-03-19 23:40,21,8.50,58,70
2023-03-19 23:40,29,88.33,50,58
2023-03-19 23:35,30,10.18,58,78
2023-03-19 23:35,36,81.77,54,63
2023-03-19 23:30,34,12.38,52,60
2023-03-19 23:30,44,82.89,53,69
2023-03-19 23:25,35,25.23,56,68
2023-03-19 23:25,39,94.45,52,65
2023-03-19 23:20,27,25.16,54,63
2023-03-19 23:20,91,69.28,55,88
2023-03-19 23:15,26,9.15,62,84
2023-03-19 23:15,20,18.98,53,64
2023-03-19 23:10,26,10.09,61,77
2023-03-19 23:10,20,8.50,45,48
2023-03-19 23:05,31,23.89,51,58
2023-03-19 23:05,30,10.23,51,71
2023-03-19 23:00,33,12.19,61,91
2023-03-19 23:00,28,15.75,53,64
2023-03-19 22:55,30,12.50,58,69
2023-03-19 22:55,27,10.82,46,53
2023-03-19 22:50,32,11.66,48,53
2023-03-19 22:50,25,9.32,45,50
2023-03-19 22:45,32,12.69,69,101
2023-03-19 22:45,21,10.86,42,52
2023-03-19 22:40,36,28.91,50,61
2023-03-19 22:40,28,13.73,42,52
2023-03-19 22:35,41,17.89,53,63
2023-03-19 22:35,35,84.16,40,49
2023-03-19 22:30,34,30.59,49,56
2023-03-19 22:30,105,98.56,44,55
2023-03-19 22:25,38,13.40,52,65
2023-03-19 22:25,138,99.24,46,53
2023-03-19 22:20,55,40.30,54,89
2023-03-19 22:20,209,99.69,39,43
2023-03-19 22:15,57,30.16,50,71
2023-03-19 22:15,189,99.38,51,75
2023-03-19 22:10,38,13.48,69,99
2023-03-19 22:10,152,99.76,51,70
2023-03-19 22:05,39,33.22,57,84
2023-03-19 22:05,508,99.76,46,51
2023-03-19 22:00,27,13.24,55,81
2023-03-19 22:00,90,37.75,44,53
2023-03-19 21:55,48,16.23,59,79
2023-03-19 21:55,114,78.53,45,57
2023-03-19 21:50,49,17.39,47,76
2023-03-19 21:50,67,93.01,44,57
2023-03-19 21:45,61,40.16,49,75
2023-03-19 21:45,135,92.35,44,58
2023-03-19 21:40,54,20.37,50,57
2023-03-19 21:40,147,84.65,40,50
2023-03-19 21:35,41,45.05,52,63
2023-03-19 21:35,63,62.66,41,54
2023-03-19 21:30,66,32.55,44,51
2023-03-19 21:30,94,65.78,36,41
2023-03-19 21:25,42,15.93,53,80
2023-03-19 21:25,55,40.63,51,66
2023-03-19 21:20,48,47.75,56,65
2023-03-19 21:20,59,25.59,45,58
2023-03-19 21:15,53,39.03,51,60
2023-03-19 21:15,57,45.69,45,50
2023-03-19 21:10,46,33.43,65,101
2023-03-19 21:10,69,57.03,46,56
2023-03-19 21:05,52,28.02,46,56
2023-03-19 21:05,59,46.71,42,52
2023-03-19 21:00,55,36.19,41,58
2023-03-19 21:00,33,19.83,40,45
2023-03-19 20:55,59,27.08,40,53
2023-03-19 20:55,51,30.40,35,43
2023-03-19 20:50,72,51.97,47,69
2023-03-19 20:50,67,26.28,36,45
2023-03-19 20:45,64,38.35,45,75
2023-03-19 20:45,41,44.14,34,44
2023-03-19 20:40,67,40.72,50,71
2023-03-19 20:40,71,47.64,37,48
2023-03-19 20:35,59,23.80,47,59
2023-03-19 20:35,69,27.10,42,59
2023-03-19 20:30,65,23.83,49,67
2023-03-19 20:30,64,34.11,42,47
2023-03-19 20:25,53,34.08,52,79
2023-03-19 20:25,61,35.17,46,59
2023-03-19 20:20,65,40.29,38,45
2023-03-19 20:20,64,31.17,37,48
2023-03-19 20:15,62,47.48,33,42
2023-03-19 20:15,104,51.61,42,67
2023-03-19 20:10,81,40.45,40,59
2023-03-19 20:10,157,49.26,32,42
2023-03-19 20:05,42,35.58,40,50
2023-03-19 20:05,48,18.21,39,53
2023-03-19 20:00,81,60.15,41,49
2023-03-19 20:00,88,42.87,33,41
2023-03-19 19:55,63,51.26,39,53
2023-03-19 19:55,80,29.30,37,60
2023-03-19 19:50,77,43.39,45,59
2023-03-19 19:50,108,37.91,32,39
2023-03-19 19:45,76,25.80,34,46
2023-03-19 19:45,54,29.89,35,45
2023-03-19 19:40,67,24.11,39,47
2023-03-19 19:40,60,33.84,38,51
2023-03-19 19:35,74,36.86,49,78
2023-03-19 19:35,108,37.41,41,48
