Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 10:00,93,15.36,31,35
2023-03-20 10:00,46,16.38,32,35
2023-03-20 09:55,38,73.73,17,24
2023-03-20 09:55,30,23.83,33,40
2023-03-20 09:50,144,30.80,25,31
2023-03-20 09:50,46,15.08,29,34
2023-03-20 09:45,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 09:45,32,35.56,34,38
2023-03-20 09:40,42,17.12,33,37
2023-03-20 09:40,37,12.13,29,33
2023-03-20 09:35,30,48.88,34,38
2023-03-20 09:30,69,25.46,32,36
2023-03-20 09:30,33,41.89,31,35
2023-03-20 09:25,39,53.73,17,22
2023-03-20 09:25,33,49.90,34,39
2023-03-20 09:20,107,31.67,29,35
2023-03-20 09:20,36,17.96,34,39
2023-03-20 09:15,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 09:15,24,43.78,35,39
2023-03-20 09:10,32,32.96,34,39
2023-03-20 09:10,25,7.36,28,32
2023-03-20 09:05,32,24.49,31,35
2023-03-20 09:00,66,16.09,33,39
2023-03-20 09:00,38,22.86,34,38
2023-03-20 08:55,43,75.07,19,30
2023-03-20 08:55,35,48.71,34,40
2023-03-20 08:50,141,23.71,27,34
2023-03-20 08:50,52,20.63,32,36
2023-03-20 08:45,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 08:45,32,10.87,33,37
2023-03-20 08:40,48,34.91,33,37
2023-03-20 08:40,43,10.41,32,37
2023-03-20 08:35,40,24.19,32,35
2023-03-20 08:30,96,14.22,32,36
2023-03-20 08:30,45,15.58,32,38
2023-03-20 08:25,45,63.15,16,24
2023-03-20 08:25,36,43.75,26,36
2023-03-20 08:20,141,34.43,28,33
2023-03-20 08:20,45,43.67,33,37
2023-03-20 08:15,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 08:15,36,30.81,31,35
2023-03-20 08:10,53,36.12,35,38
2023-03-20 08:10,71,12.56,31,35
2023-03-20 08:05,47,12.29,34,39
2023-03-20 08:00,79,22.11,34,38
2023-03-20 08:00,43,34.35,35,39
2023-03-20 07:55,35,37.29,20,31
2023-03-20 07:55,33,10.75,35,39
