Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2022-12-31 20:45,19,0.61,30,34
2022-12-31 20:45,25,0.52,35,38
2022-12-31 20:40,23,0.63,29,34
2022-12-31 20:40,31,0.58,31,37
2022-12-31 20:35,22,0.64,28,34
2022-12-31 20:35,33,0.54,34,38
2022-12-31 20:30,22,0.58,31,39
2022-12-31 20:30,32,0.53,34,39
2022-12-31 20:25,29,0.60,30,37
2022-12-31 20:25,41,0.55,33,42
2022-12-31 20:20,23,0.59,30,36
2022-12-31 20:20,21,0.54,34,38
2022-12-31 20:15,28,0.68,27,33
2022-12-31 20:15,23,0.56,32,40
2022-12-31 20:10,32,0.64,28,35
2022-12-31 20:10,28,0.55,33,37
2022-12-31 20:05,38,0.61,30,36
2022-12-31 20:05,35,0.61,29,40
2022-12-31 20:00,19,0.61,30,37
2022-12-31 20:00,42,0.55,33,40
2022-12-31 19:55,30,0.57,32,38
2022-12-31 19:55,37,0.50,36,44
2022-12-31 19:50,27,0.75,24,32
2022-12-31 19:50,29,0.62,29,36
2022-12-31 19:45,26,0.69,26,37
2022-12-31 19:45,27,0.60,30,38
2022-12-31 19:40,26,0.63,29,34
2022-12-31 19:40,35,0.59,30,37
2022-12-31 19:35,23,0.64,28,35
2022-12-31 19:35,31,0.52,35,44
2022-12-31 19:30,28,0.72,25,37
2022-12-31 19:30,28,0.55,33,41
2022-12-31 19:25,34,0.67,27,35
2022-12-31 19:25,44,0.64,28,37
2022-12-31 19:20,26,0.68,26,31
2022-12-31 19:20,35,0.56,32,39
2022-12-31 19:15,45,0.67,27,38
2022-12-31 19:15,41,0.59,30,40
2022-12-31 19:10,39,0.65,28,35
2022-12-31 19:10,36,0.62,29,37
2022-12-31 19:05,25,0.73,25,31
2022-12-31 19:05,31,0.53,34,40
2022-12-31 19:00,28,0.74,24,36
2022-12-31 19:00,50,0.58,31,40
2022-12-31 18:55,25,0.64,28,37
2022-12-31 18:55,35,0.57,32,38
2022-12-31 18:50,28,0.67,27,35
2022-12-31 18:50,32,0.64,28,37
2022-12-31 18:45,23,0.65,27,34
2022-12-31 18:45,34,0.58,31,38
2022-12-31 18:40,27,0.68,26,33
2022-12-31 18:40,37,0.58,31,39
2022-12-31 18:35,33,0.74,24,33
2022-12-31 18:35,35,0.63,29,39
2022-12-31 18:30,26,0.74,24,33
2022-12-31 18:30,30,0.67,27,37
2022-12-31 18:25,20,0.63,29,35
2022-12-31 18:25,37,0.57,32,37
2022-12-31 18:20,33,0.66,27,37
2022-12-31 18:20,33,0.59,30,37
2022-12-31 18:15,40,0.66,27,35
2022-12-31 18:15,46,0.63,29,37
2022-12-31 18:10,57,0.67,27,34
2022-12-31 18:10,46,0.69,26,36
2022-12-31 18:05,45,0.67,27,36
2022-12-31 18:05,38,0.58,31,42
2022-12-31 18:00,40,0.64,28,34
2022-12-31 18:00,39,0.59,30,37
2022-12-31 17:55,34,0.66,27,33
2022-12-31 17:55,40,0.56,32,41
2022-12-31 17:50,33,0.68,26,35
2022-12-31 17:50,44,0.56,32,40
2022-12-31 17:45,36,0.64,28,37
2022-12-31 17:45,39,0.58,31,38
2022-12-31 17:40,23,0.63,29,34
2022-12-31 17:40,43,0.57,32,41
2022-12-31 17:35,50,0.64,28,34
2022-12-31 17:35,42,0.63,28,37
2022-12-31 17:30,29,0.67,27,35
2022-12-31 17:30,38,0.62,29,37
2022-12-31 17:25,14,0.56,32,39
2022-12-31 17:25,30,0.58,31,41
2022-12-31 17:20,94,0.78,23,32
2022-12-31 17:20,67,0.69,26,37
2022-12-31 17:15,46,0.70,26,35
2022-12-31 17:15,47,0.62,29,39
2022-12-31 17:10,29,0.66,27,34
2022-12-31 17:10,52,0.60,30,37
2022-12-31 17:05,37,0.66,27,36
2022-12-31 17:05,46,0.61,30,38
2022-12-31 17:00,31,0.58,31,39
2022-12-31 17:00,38,0.53,34,42
2022-12-31 16:55,28,0.69,26,36
2022-12-31 16:55,40,0.58,31,40
2022-12-31 16:50,24,0.61,30,39
2022-12-31 16:50,80,0.59,31,39
2022-12-31 16:45,34,0.70,26,34
2022-12-31 16:45,41,0.62,29,37
2022-12-31 16:40,36,0.66,27,35
2022-12-31 16:40,48,0.62,29,39
2022-12-31 16:35,35,0.72,25,34
2022-12-31 16:35,46,0.64,28,38
2022-12-31 16:30,38,0.72,25,33
2022-12-31 16:30,44,0.61,30,40
2022-12-31 16:25,27,0.65,28,38
2022-12-31 16:25,38,0.54,33,43
2022-12-31 16:20,38,0.60,30,38
2022-12-31 16:20,45,0.56,32,41
2022-12-31 16:15,24,0.57,32,44
