Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-01-01 03:00,7,0.97,19,31
2023-01-01 03:00,2,0.21,84,92
2023-01-01 02:55,9,0.94,19,37
2023-01-01 02:55,5,0.26,70,91
2023-01-01 02:50,7,0.71,25,43
2023-01-01 02:50,11,0.26,69,85
2023-01-01 02:45,39,0.56,32,50
2023-01-01 02:45,6,0.24,76,92
2023-01-01 02:40,7,0.63,29,36
2023-01-01 02:40,8,0.24,75,91
2023-01-01 02:35,3,1.54,12,12
2023-01-01 02:35,3,0.30,60,65
2023-01-01 02:30,9,0.68,26,29
2023-01-01 02:30,3,0.26,70,89
2023-01-01 02:25,8,0.54,34,53
2023-01-01 02:25,8,0.28,65,89
2023-01-01 02:20,6,0.87,21,36
2023-01-01 02:20,6,0.27,67,74
2023-01-01 02:15,8,0.80,23,23
2023-01-01 02:15,4,0.30,60,76
2023-01-01 02:10,15,9.44,2,2
2023-01-01 02:10,9,0.32,55,68
2023-01-01 02:05,7,0.00,0,0
2023-01-01 02:05,3,0.28,63,78
2023-01-01 02:00,10,0.00,0,0
2023-01-01 02:00,4,0.30,59,76
2023-01-01 01:55,6,0.00,0,0
2023-01-01 01:55,6,0.35,52,63
2023-01-01 01:50,6,0.00,0,0
2023-01-01 01:50,10,0.33,54,66
2023-01-01 01:45,7,0.00,0,0
2023-01-01 01:45,11,0.27,66,88
2023-01-01 01:40,13,0.00,0,0
2023-01-01 01:40,8,0.35,52,62
2023-01-01 01:35,11,0.00,0,0
2023-01-01 01:35,8,0.29,61,78
2023-01-01 01:30,8,0.00,0,0
2023-01-01 01:30,8,0.30,60,74
2023-01-01 01:25,9,0.00,0,0
2023-01-01 01:25,4,0.31,57,77
2023-01-01 01:20,6,0.00,0,0
2023-01-01 01:20,4,0.32,57,65
2023-01-01 01:15,9,0.00,0,0
2023-01-01 01:15,8,0.31,58,67
2023-01-01 01:10,7,0.00,0,0
2023-01-01 01:10,6,0.35,51,59
2023-01-01 01:05,7,0.00,0,0
2023-01-01 01:05,8,0.27,66,82
2023-01-01 01:00,6,0.00,0,0
2023-01-01 01:00,8,0.29,63,79
2023-01-01 00:55,3,0.00,0,0
2023-01-01 00:55,2,0.38,48,51
2023-01-01 00:50,6,0.00,0,0
2023-01-01 00:50,8,0.29,63,86
2023-01-01 00:45,5,0.00,0,0
2023-01-01 00:45,6,0.28,65,80
2023-01-01 00:40,2,0.83,22,22
2023-01-01 00:40,8,0.29,62,76
2023-01-01 00:35,4,0.93,19,32
2023-01-01 00:35,6,0.22,84,112
2023-01-01 00:30,9,0.49,36,50
2023-01-01 00:30,5,0.32,56,68
2023-01-01 00:25,3,0.93,19,19
2023-01-01 00:25,0,0.00,0,0
2023-01-01 00:20,4,0.95,19,21
2023-01-01 00:20,2,0.29,62,62
2023-01-01 00:15,2,0.60,30,48
2023-01-01 00:15,0,0.00,0,0
2023-01-01 00:10,4,1.69,11,18
2023-01-01 00:10,0,0.00,0,0
2023-01-01 00:05,1,1.23,15,15
2023-01-01 00:05,1,0.17,105,105
2023-01-01 00:00,3,1.04,17,37
2023-01-01 00:00,0,0.00,0,0
2022-12-31 23:55,5,0.00,0,0
2022-12-31 23:55,1,0.20,89,89
2022-12-31 23:50,6,0.30,60,60
2022-12-31 23:50,3,0.28,65,86
2022-12-31 23:45,4,0.90,20,22
2022-12-31 23:45,5,0.23,78,102
2022-12-31 23:40,3,0.33,55,74
2022-12-31 23:40,2,0.23,78,80
2022-12-31 23:35,7,0.65,28,38
2022-12-31 23:35,3,0.26,68,76
2022-12-31 23:30,10,0.83,22,22
2022-12-31 23:30,2,0.25,73,102
2022-12-31 23:25,6,0.57,32,52
2022-12-31 23:25,3,0.44,41,50
2022-12-31 23:20,7,1.26,14,26
2022-12-31 23:20,3,0.24,76,99
2022-12-31 23:15,9,1.02,18,31
2022-12-31 23:15,4,0.29,61,69
2022-12-31 23:10,3,1.00,18,20
2022-12-31 23:10,4,0.29,62,81
2022-12-31 23:05,8,1.39,13,24
2022-12-31 23:05,3,0.31,58,65
2022-12-31 23:00,10,1.10,16,25
2022-12-31 23:00,9,0.28,65,84
2022-12-31 22:55,8,1.24,14,33
2022-12-31 22:55,7,0.27,68,93
2022-12-31 22:50,8,0.99,18,26
2022-12-31 22:50,5,0.30,61,71
2022-12-31 22:45,10,1.82,10,16
2022-12-31 22:45,6,0.33,55,63
2022-12-31 22:40,9,0.72,25,41
2022-12-31 22:40,9,0.30,60,76
2022-12-31 22:35,9,0.76,24,41
2022-12-31 22:35,11,0.26,68,89
2022-12-31 22:30,5,0.36,50,56
2022-12-31 22:30,4,0.23,79,91
2022-12-31 22:25,13,0.99,18,33
2022-12-31 22:25,12,0.26,70,89
2022-12-31 22:20,8,0.81,22,43
2022-12-31 22:20,12,0.29,63,74
2022-12-31 22:15,11,1.46,12,23
2022-12-31 22:15,9,0.26,69,86
2022-12-31 22:10,13,1.11,16,24
2022-12-31 22:10,14,0.28,65,80
2022-12-31 22:05,18,0.58,31,44
2022-12-31 22:05,14,0.26,70,82
2022-12-31 22:00,15,0.72,25,42
2022-12-31 22:00,11,0.25,73,92
2022-12-31 21:55,14,0.65,28,51
2022-12-31 21:55,21,0.27,67,80
2022-12-31 21:50,16,0.56,32,57
2022-12-31 21:50,12,0.27,68,90
2022-12-31 21:45,15,0.73,25,43
2022-12-31 21:45,28,0.28,63,77
2022-12-31 21:40,16,0.97,19,29
2022-12-31 21:40,21,0.31,57,70
2022-12-31 21:35,20,0.82,22,31
2022-12-31 21:35,20,0.29,63,76
2022-12-31 21:30,22,0.54,34,52
2022-12-31 21:30,16,0.27,66,81
2022-12-31 21:25,15,1.19,15,23
2022-12-31 21:25,11,0.28,64,78
2022-12-31 21:20,11,0.53,34,54
2022-12-31 21:20,7,0.26,69,86
2022-12-31 21:15,10,2.06,9,20
2022-12-31 21:15,12,0.27,66,77
2022-12-31 21:10,24,0.71,25,38
2022-12-31 21:10,14,0.28,65,81
2022-12-31 21:05,22,1.03,17,26
2022-12-31 21:05,15,0.30,61,75
2022-12-31 21:00,8,0.99,18,36
2022-12-31 21:00,23,0.31,59,71
2022-12-31 20:55,14,0.87,21,39
2022-12-31 20:55,19,0.29,62,79
2022-12-31 20:50,21,0.59,30,52
2022-12-31 20:50,13,0.27,66,78
2022-12-31 20:45,13,0.90,20,35
