Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 10:00,91,64.36,48,62
2023-03-20 10:00,44,66.64,47,69
2023-03-20 09:55,130,65.18,43,57
2023-03-20 09:55,101,67.58,48,63
2023-03-20 09:50,171,72.93,40,51
2023-03-20 09:50,63,76.41,46,60
2023-03-20 09:45,58,55.77,42,54
2023-03-20 09:45,66,54.79,48,59
2023-03-20 09:40,86,44.92,39,45
2023-03-20 09:40,63,50.77,31,36
2023-03-20 09:35,89,73.81,22,31
2023-03-20 09:35,83,73.45,27,36
2023-03-20 09:30,96,76.92,33,45
2023-03-20 09:30,74,83.55,32,46
2023-03-20 09:25,71,52.01,36,47
2023-03-20 09:25,74,70.41,35,47
2023-03-20 09:20,81,60.36,43,61
2023-03-20 09:20,77,69.61,43,62
2023-03-20 09:15,94,48.31,45,60
2023-03-20 09:15,70,59.10,38,58
2023-03-20 09:10,72,68.22,36,53
2023-03-20 09:10,99,75.41,45,55
2023-03-20 09:05,72,60.72,45,60
2023-03-20 09:05,70,64.27,49,64
2023-03-20 09:00,80,56.14,38,52
2023-03-20 09:00,59,67.07,43,65
2023-03-20 08:55,113,47.67,38,52
2023-03-20 08:55,90,64.97,34,46
2023-03-20 08:50,44,16.18,49,60
2023-03-20 08:50,49,20.74,47,59
2023-03-20 08:45,52,30.18,42,52
2023-03-20 08:45,86,46.09,47,57
2023-03-20 08:40,48,22.91,45,59
2023-03-20 08:40,52,44.06,41,55
2023-03-20 08:35,68,48.84,38,52
2023-03-20 08:35,69,45.37,42,50
2023-03-20 08:30,57,41.97,43,53
2023-03-20 08:30,90,66.79,41,54
2023-03-20 08:25,68,54.78,41,56
2023-03-20 08:25,76,57.68,36,46
2023-03-20 08:20,71,65.23,40,56
2023-03-20 08:20,98,55.86,36,54
2023-03-20 08:15,63,56.54,46,65
2023-03-20 08:15,80,64.47,55,75
2023-03-20 08:10,101,61.33,45,62
2023-03-20 08:10,57,69.34,50,62
2023-03-20 08:05,45,29.02,58,71
2023-03-20 08:05,61,37.15,56,68
2023-03-20 08:00,61,23.57,51,66
2023-03-20 08:00,60,30.14,50,62
2023-03-20 07:55,51,21.40,44,57
2023-03-20 07:55,66,40.76,43,57
2023-03-20 07:50,59,45.25,42,55
2023-03-20 07:50,74,50.09,49,63
2023-03-20 07:45,59,30.50,44,58
2023-03-20 07:45,74,41.08,44,53
2023-03-20 07:40,51,32.67,46,61
2023-03-20 07:40,52,59.15,38,55
2023-03-20 07:35,60,32.69,33,46
2023-03-20 07:35,67,51.21,37,49
2023-03-20 07:30,48,54.23,39,58
2023-03-20 07:30,70,65.08,42,58
2023-03-20 07:25,63,50.39,46,62
2023-03-20 07:25,54,57.38,47,67
2023-03-20 07:20,74,50.49,51,68
2023-03-20 07:20,68,69.68,53,70
2023-03-20 07:15,86,50.40,48,64
2023-03-20 07:15,69,59.22,48,68
2023-03-20 07:10,45,33.40,49,63
2023-03-20 07:10,45,33.01,53,65
2023-03-20 07:05,107,29.52,35,45
2023-03-20 07:05,95,48.15,30,42
2023-03-20 07:00,70,39.42,48,66
2023-03-20 07:00,59,42.89,52,65
2023-03-20 06:55,72,29.80,45,55
2023-03-20 06:55,30,29.36,49,63
2023-03-20 06:50,54,40.14,35,44
2023-03-20 06:50,46,43.08,38,54
2023-03-20 06:45,74,47.68,39,58
2023-03-20 06:45,85,65.39,43,60
2023-03-20 06:40,126,58.52,46,62
2023-03-20 06:40,84,58.54,61,74
2023-03-20 06:35,109,45.39,47,66
2023-03-20 06:35,52,48.42,45,69
2023-03-20 06:30,75,57.59,48,64
2023-03-20 06:30,76,62.99,53,71
2023-03-20 06:25,52,37.49,49,59
2023-03-20 06:25,39,40.50,56,66
2023-03-20 06:20,44,28.30,39,51
2023-03-20 06:20,35,32.34,41,53
2023-03-20 06:15,95,40.30,32,43
2023-03-20 06:15,41,44.71,33,45
