Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 10:00,47,14.34,31,36
2023-03-20 09:55,26,8.62,30,37
2023-03-20 09:50,49,12.69,29,34
2023-03-20 09:45,18,6.91,29,36
2023-03-20 09:35,26,7.54,34,41
2023-03-20 09:30,36,9.02,34,38
2023-03-20 09:25,25,7.36,35,40
2023-03-20 09:20,29,9.79,32,38
2023-03-20 09:15,20,5.66,35,40
2023-03-20 09:05,35,11.35,27,34
2023-03-20 09:00,28,9.31,32,39
2023-03-20 08:55,26,7.42,36,40
2023-03-20 08:50,40,11.34,32,39
2023-03-20 08:45,29,8.90,32,37
2023-03-20 08:35,38,10.89,31,36
2023-03-20 08:30,51,12.85,32,35
2023-03-20 08:25,34,12.05,29,33
2023-03-20 08:20,49,11.64,31,37
2023-03-20 08:15,35,9.45,29,33
2023-03-20 08:05,45,9.90,32,35
2023-03-20 08:00,36,9.87,32,37
2023-03-20 07:55,37,9.50,31,36
2023-03-20 07:50,51,13.14,30,37
2023-03-20 07:45,32,9.14,32,36
2023-03-20 07:35,38,11.83,29,33
2023-03-20 07:30,52,11.52,30,38
2023-03-20 07:25,28,7.47,32,36
2023-03-20 07:20,34,8.35,32,37
2023-03-20 07:15,29,7.57,31,35
2023-03-20 07:05,23,5.91,32,36
2023-03-20 07:00,32,8.83,32,37
2023-03-20 06:55,33,8.77,32,38
2023-03-20 06:50,31,9.10,34,38
2023-03-20 06:45,32,8.72,30,35
2023-03-20 06:35,16,6.87,31,34
2023-03-20 06:30,22,6.03,34,38
2023-03-20 06:25,26,7.33,32,35
2023-03-20 06:20,23,7.10,34,41
2023-03-20 06:15,12,3.37,35,40
2023-03-20 06:05,9,3.52,34,40
2023-03-20 06:00,11,3.81,31,34
2023-03-20 05:55,17,4.65,31,36
2023-03-20 05:50,14,4.09,34,40
2023-03-20 05:45,10,3.04,32,38
2023-03-20 05:35,10,2.36,33,40
2023-03-20 05:30,5,1.65,33,40
2023-03-20 05:25,6,1.68,32,34
2023-03-20 05:20,15,4.45,31,35
2023-03-20 05:15,7,1.66,34,39
2023-03-20 05:05,2,0.69,0,0
2023-03-20 05:00,4,0.69,30,30
2023-03-20 04:55,5,1.56,0,0
2023-03-20 04:50,6,1.93,0,0
2023-03-20 04:45,1,0.52,0,0
2023-03-20 04:35,5,0.98,30,32
2023-03-20 04:30,5,1.14,28,30
2023-03-20 04:25,4,1.68,0,0
2023-03-20 04:20,4,1.41,43,46
2023-03-20 04:15,5,1.54,25,36
2023-03-20 04:05,3,0.94,24,24
2023-03-20 04:00,4,1.37,20,20
2023-03-20 03:55,4,0.93,0,0
2023-03-20 03:50,5,2.56,28,31
2023-03-20 03:45,2,0.83,45,45
2023-03-20 03:35,3,1.30,23,23
2023-03-20 03:30,2,0.84,40,40
2023-03-20 03:25,3,1.19,32,42
2023-03-20 03:20,2,0.75,22,22
2023-03-20 03:15,1,0.22,0,0
2023-03-20 03:05,2,1.81,0,0
2023-03-20 03:00,2,0.87,0,0
2023-03-20 02:55,6,1.72,30,32
2023-03-20 02:50,2,0.49,30,30
2023-03-20 02:45,2,0.77,30,30
2023-03-20 02:35,1,0.35,30,30
2023-03-20 02:30,8,1.89,26,28
2023-03-20 02:25,4,0.84,40,40
2023-03-20 02:20,5,0.89,0,0
2023-03-20 02:15,2,0.47,40,40
2023-03-20 02:05,4,1.82,36,36
2023-03-20 02:00,2,1.59,4,4
2023-03-20 01:55,5,1.08,34,37
2023-03-20 01:50,8,2.44,32,37
2023-03-20 01:45,2,0.50,36,36
2023-03-20 01:35,7,1.34,33,33
2023-03-20 01:30,5,0.88,40,40
2023-03-20 01:25,6,1.81,28,36
2023-03-20 01:20,6,1.55,28,30
2023-03-20 01:15,9,2.52,31,33
2023-03-20 01:05,4,1.39,20,20
2023-03-20 01:00,6,1.29,29,29
2023-03-20 00:55,7,2.33,35,36
2023-03-20 00:50,5,1.55,28,28
2023-03-20 00:45,6,1.88,0,0
2023-03-20 00:35,6,1.75,28,28
2023-03-20 00:30,9,2.23,32,38
2023-03-20 00:25,3,1.22,26,26
2023-03-20 00:20,8,2.15,27,28
2023-03-20 00:15,10,4.17,31,39
2023-03-20 00:05,10,2.63,0,0
2023-03-20 00:00,13,65.98,29,32
2023-03-19 23:55,16,10.90,33,42
2023-03-19 23:50,12,3.18,34,37
2023-03-19 23:45,9,2.46,35,44
2023-03-19 23:35,9,2.84,28,29
2023-03-19 23:30,9,2.27,30,30
2023-03-19 23:25,11,3.10,35,40
2023-03-19 23:20,10,2.73,30,31
2023-03-19 23:15,17,4.51,30,39
2023-03-19 23:05,11,2.49,32,37
2023-03-19 23:00,8,2.00,30,30
2023-03-19 22:55,16,3.37,32,36
2023-03-19 22:50,15,3.78,32,36
2023-03-19 22:45,17,5.12,31,35
2023-03-19 22:35,16,3.62,32,39
2023-03-19 22:30,19,4.69,33,39
2023-03-19 22:25,9,2.26,35,43
2023-03-19 22:20,8,1.91,39,47
2023-03-19 22:15,10,3.61,30,36
2023-03-19 22:05,19,5.66,32,37
2023-03-19 22:00,20,5.45,30,35
2023-03-19 21:55,22,4.90,29,34
2023-03-19 21:50,15,10.55,27,31
2023-03-19 21:45,18,15.08,30,40
2023-03-19 21:35,17,5.97,27,28
