Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 01:05,21,4.69,37,47
2023-03-20 01:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 00:55,5,1.28,37,38
2023-03-20 00:50,2,14.30,36,55
2023-03-20 00:45,9,52.98,36,48
2023-03-20 00:40,16,22.08,35,48
2023-03-20 00:35,18,5.60,36,49
2023-03-20 00:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 00:25,4,2.70,30,32
2023-03-20 00:20,4,20.15,52,63
2023-03-20 00:15,9,2.84,34,43
2023-03-20 00:10,22,22.66,28,43
2023-03-20 00:05,41,18.90,31,42
2023-03-20 00:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 23:55,11,3.58,36,40
2023-03-19 23:50,7,29.39,25,47
2023-03-19 23:45,10,42.49,23,40
2023-03-19 23:40,10,32.57,29,44
2023-03-19 23:35,28,35.03,35,47
2023-03-19 23:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 23:25,14,5.19,34,38
2023-03-19 23:20,8,17.93,44,54
2023-03-19 23:15,19,37.40,33,50
2023-03-19 23:10,35,43.33,25,42
2023-03-19 23:05,25,13.13,34,45
2023-03-19 23:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 22:55,13,4.44,37,45
2023-03-19 22:50,17,42.09,21,39
2023-03-19 22:45,21,36.06,23,32
2023-03-19 22:40,27,50.38,22,33
2023-03-19 22:35,60,15.14,42,51
2023-03-19 22:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 22:25,20,4.68,37,41
2023-03-19 22:20,5,7.26,22,36
2023-03-19 22:15,21,48.23,26,38
2023-03-19 22:10,45,42.17,32,48
2023-03-19 22:05,66,46.31,30,41
2023-03-19 22:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 21:55,24,15.34,33,38
2023-03-19 21:50,12,26.96,27,41
2023-03-19 21:45,14,36.65,24,40
2023-03-19 21:40,64,54.50,35,52
2023-03-19 21:35,117,40.76,29,45
2023-03-19 21:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 21:25,43,22.01,33,38
2023-03-19 21:20,17,58.57,31,53
2023-03-19 21:15,22,54.62,28,40
2023-03-19 21:10,36,35.76,30,45
2023-03-19 21:05,62,31.69,32,44
2023-03-19 21:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 20:55,37,29.60,40,48
2023-03-19 20:50,19,30.86,25,40
2023-03-19 20:45,22,38.53,34,48
2023-03-19 20:40,59,54.94,27,43
2023-03-19 20:35,99,41.13,30,41
2023-03-19 20:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 20:25,30,34.20,35,39
2023-03-19 20:20,19,44.51,29,46
2023-03-19 20:15,32,53.75,27,40
2023-03-19 20:10,55,51.44,31,51
2023-03-19 20:05,65,36.38,33,48
2023-03-19 20:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 19:55,32,62.48,35,41
2023-03-19 19:50,15,53.38,35,58
2023-03-19 19:45,27,56.00,30,45
2023-03-19 19:40,78,60.28,24,36
2023-03-19 19:35,91,40.30,31,42
2023-03-19 19:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 19:25,34,55.02,29,36
2023-03-19 19:20,23,58.26,31,53
2023-03-19 19:15,58,63.49,26,42
2023-03-19 19:10,52,60.70,28,42
2023-03-19 19:05,84,56.70,29,43
2023-03-19 19:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 18:55,37,33.63,38,48
2023-03-19 18:50,39,60.71,27,44
2023-03-19 18:45,34,58.74,25,34
2023-03-19 18:40,72,61.85,25,38
2023-03-19 18:35,99,48.12,32,44
2023-03-19 18:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 18:25,42,74.42,33,38
2023-03-19 18:20,26,68.77,29,47
2023-03-19 18:15,30,44.81,25,42
2023-03-19 18:10,59,69.63,30,47
2023-03-19 18:05,106,49.96,30,42
2023-03-19 18:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 17:55,44,55.39,34,40
2023-03-19 17:50,47,60.52,30,42
2023-03-19 17:45,53,67.45,25,34
2023-03-19 17:40,87,80.01,28,41
2023-03-19 17:35,135,71.99,28,41
2023-03-19 17:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 17:25,35,42.32,36,41
2023-03-19 17:20,19,53.28,29,42
2023-03-19 17:15,52,100.00,22,34
2023-03-19 17:10,67,72.17,28,44
2023-03-19 17:05,114,72.90,29,43
2023-03-19 17:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 16:55,58,43.21,39,46
2023-03-19 16:50,26,59.04,22,36
2023-03-19 16:45,46,100.00,25,40
2023-03-19 16:40,73,84.56,23,37
2023-03-19 16:35,121,70.74,34,47
2023-03-19 16:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 16:25,46,76.24,33,37
2023-03-19 16:20,46,55.74,24,39
2023-03-19 16:15,49,100.00,20,31
2023-03-19 16:10,75,79.46,19,30
2023-03-19 16:05,107,59.34,32,44
2023-03-19 16:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 15:55,36,13.21,34,38
2023-03-19 15:50,43,58.05,27,40
2023-03-19 15:45,38,100.00,26,37
2023-03-19 15:40,73,77.81,28,44
2023-03-19 15:35,106,65.33,29,42
2023-03-19 15:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 15:25,35,53.83,34,41
2023-03-19 15:20,36,63.80,34,49
2023-03-19 15:15,27,100.00,27,41
2023-03-19 15:10,86,85.97,25,39
2023-03-19 15:05,124,77.24,27,40
2023-03-19 15:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 14:55,49,62.10,32,37
2023-03-19 14:50,33,72.52,24,38
2023-03-19 14:45,43,100.00,21,33
2023-03-19 14:40,94,85.45,22,33
2023-03-19 14:35,152,67.98,31,40
2023-03-19 14:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 14:25,48,33.71,33,41
2023-03-19 14:20,30,54.07,32,47
2023-03-19 14:15,42,100.00,17,28
2023-03-19 14:10,81,80.46,27,39
2023-03-19 14:05,122,63.71,30,40
2023-03-19 14:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 13:55,47,69.15,31,36
2023-03-19 13:50,60,75.56,24,34
2023-03-19 13:45,36,100.00,26,36
2023-03-19 13:40,92,79.42,28,40
2023-03-19 13:35,98,76.01,28,40
2023-03-19 13:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 13:25,51,64.96,35,44
2023-03-19 13:20,54,71.69,29,43
2023-03-19 13:15,35,100.00,27,41
2023-03-19 13:10,160,79.36,25,40
2023-03-19 13:05,138,73.29,28,37
2023-03-19 13:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 12:55,47,60.72,30,38
2023-03-19 12:50,34,65.23,34,49
2023-03-19 12:45,71,100.00,28,37
2023-03-19 12:40,102,84.62,25,36
2023-03-19 12:35,149,76.54,26,38
2023-03-19 12:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 12:25,45,64.54,35,44
2023-03-19 12:20,37,66.80,23,39
2023-03-19 12:15,40,100.00,19,31
2023-03-19 12:10,75,75.39,29,43
2023-03-19 12:05,101,78.12,30,46
2023-03-19 12:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 11:55,46,95.30,34,39
2023-03-19 11:50,36,75.38,24,36
2023-03-19 11:45,48,100.00,25,34
2023-03-19 11:40,137,76.92,26,39
2023-03-19 11:35,123,86.60,29,40
2023-03-19 11:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 11:25,39,88.83,38,47
2023-03-19 11:20,23,65.20,31,49
2023-03-19 11:15,38,100.00,22,30
2023-03-19 11:10,92,85.53,24,36
2023-03-19 11:05,113,84.86,29,39
2023-03-19 11:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 10:55,48,88.87,34,42
2023-03-19 10:50,22,55.43,33,51
2023-03-19 10:45,32,100.00,25,38
2023-03-19 10:40,56,81.55,29,42
2023-03-19 10:35,108,74.28,29,42
2023-03-19 10:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 10:25,23,31.12,34,40
2023-03-19 10:20,32,52.44,20,36
2023-03-19 10:15,32,100.00,25,41
2023-03-19 10:10,51,74.00,26,40
2023-03-19 10:05,82,53.22,26,37
2023-03-19 10:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 09:55,40,31.25,34,38
2023-03-19 09:50,33,59.32,27,45
2023-03-19 09:45,25,36.06,23,35
2023-03-19 09:40,57,52.05,33,49
2023-03-19 09:35,94,47.44,27,37
2023-03-19 09:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 09:25,20,9.29,42,56
2023-03-19 09:20,18,37.23,36,55
2023-03-19 09:15,28,85.99,25,40
2023-03-19 09:10,56,69.71,28,44
2023-03-19 09:05,73,79.18,23,33
2023-03-19 09:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 08:55,28,48.43,35,41
2023-03-19 08:50,17,32.56,28,42
2023-03-19 08:45,50,100.00,27,40
2023-03-19 08:40,60,58.16,31,46
2023-03-19 08:35,69,37.61,26,36
2023-03-19 08:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 08:25,16,28.89,32,38
2023-03-19 08:20,11,13.32,46,59
2023-03-19 08:15,34,58.67,30,48
2023-03-19 08:10,21,26.94,24,39
2023-03-19 08:05,49,26.43,30,43
2023-03-19 08:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 07:55,16,24.45,39,43
2023-03-19 07:50,10,31.21,22,37
2023-03-19 07:45,15,48.43,18,33
2023-03-19 07:40,32,41.01,31,50
2023-03-19 07:35,39,24.11,39,52
2023-03-19 07:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 07:25,13,6.45,36,42
2023-03-19 07:20,12,47.99,44,64
2023-03-19 07:15,17,45.26,25,43
2023-03-19 07:10,22,14.47,20,34
2023-03-19 07:05,20,5.09,32,42
2023-03-19 07:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 06:55,10,3.60,33,42
2023-03-19 06:50,5,20.67,26,53
2023-03-19 06:45,10,29.56,27,51
2023-03-19 06:40,31,7.84,40,58
2023-03-19 06:35,27,26.85,39,53
2023-03-19 06:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 06:25,2,0.43,32,38
2023-03-19 06:20,17,33.27,20,28
2023-03-19 06:15,8,31.86,24,37
2023-03-19 06:10,18,9.68,34,52
2023-03-19 06:05,21,21.24,31,36
2023-03-19 06:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 05:55,3,6.87,0,0
2023-03-19 05:50,4,1.70,36,53
2023-03-19 05:45,7,2.83,31,46
2023-03-19 05:40,3,0.87,19,23
2023-03-19 05:35,8,2.31,23,31
2023-03-19 05:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 05:25,4,1.36,40,46
2023-03-19 05:20,2,14.34,68,68
2023-03-19 05:15,10,15.18,23,38
2023-03-19 05:10,6,11.14,23,27
2023-03-19 05:05,17,9.59,40,51
2023-03-19 05:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 04:55,0,0.31,0,0
2023-03-19 04:50,1,0.71,69,69
2023-03-19 04:45,4,1.43,37,51
2023-03-19 04:40,12,13.16,35,49
2023-03-19 04:35,9,1.14,38,42
2023-03-19 04:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 04:25,5,10.12,39,43
2023-03-19 04:20,2,1.88,33,49
2023-03-19 04:15,2,0.33,41,42
2023-03-19 04:10,6,1.23,44,48
2023-03-19 04:05,7,0.89,13,17
2023-03-19 04:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 03:55,3,0.74,0,0
2023-03-19 03:50,0,9.69,0,0
2023-03-19 03:45,8,14.38,19,23
2023-03-19 03:40,17,18.54,22,34
2023-03-19 03:35,16,18.74,28,38
2023-03-19 03:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 03:25,0,0.48,0,0
2023-03-19 03:20,4,19.12,43,61
2023-03-19 03:15,3,0.86,36,41
2023-03-19 03:10,8,4.12,32,50
2023-03-19 03:05,27,14.35,19,24
2023-03-19 03:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 02:55,5,1.61,38,46
2023-03-19 02:50,2,2.05,31,38
2023-03-19 02:45,6,1.45,35,54
2023-03-19 02:40,4,1.39,47,52
2023-03-19 02:35,11,20.68,22,33
2023-03-19 02:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 02:25,5,8.47,38,47
2023-03-19 02:20,2,12.78,20,27
2023-03-19 02:15,3,0.86,39,51
2023-03-19 02:10,11,2.63,32,41
2023-03-19 02:05,9,1.51,40,44
2023-03-19 02:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 01:55,6,1.74,35,45
2023-03-19 01:50,2,1.14,46,49
2023-03-19 01:45,20,26.10,29,49
2023-03-19 01:40,13,22.56,34,50
2023-03-19 01:35,11,1.76,36,46
2023-03-19 01:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 01:25,3,2.79,38,38
2023-03-19 01:20,4,12.54,28,47
2023-03-19 01:15,13,9.38,32,46
2023-03-19 01:10,15,25.36,21,28
2023-03-19 01:05,16,3.31,41,54
2023-03-19 01:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 00:55,6,12.62,33,38
2023-03-19 00:50,6,8.64,31,47
2023-03-19 00:45,10,22.63,21,32
2023-03-19 00:40,11,4.51,31,41
2023-03-19 00:35,26,13.12,35,46
2023-03-19 00:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-19 00:25,10,2.92,41,56
2023-03-19 00:20,9,16.99,35,49
2023-03-19 00:15,6,2.05,36,50
2023-03-19 00:10,43,40.01,31,47
2023-03-19 00:05,18,17.44,31,43
2023-03-19 00:00,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-18 23:55,11,25.64,38,49
2023-03-18 23:50,7,11.11,36,50
2023-03-18 23:45,19,56.68,35,49
2023-03-18 23:40,14,25.02,28,40
2023-03-18 23:35,29,9.00,39,47
2023-03-18 23:30,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-18 23:25,22,7.09,35,41
2023-03-18 23:20,14,36.60,28,46
