Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 10:00,51,100.00,22,31
2023-03-20 10:00,57,70.88,25,33
2023-03-20 09:55,81,100.00,28,38
2023-03-20 09:55,43,75.40,20,27
2023-03-20 09:50,58,100.00,24,30
2023-03-20 09:45,58,78.62,28,39
2023-03-20 09:40,58,100.00,27,39
2023-03-20 09:40,49,69.12,28,42
2023-03-20 09:35,51,100.00,24,36
2023-03-20 09:35,41,59.09,24,35
2023-03-20 09:30,78,100.00,27,39
2023-03-20 09:30,55,64.15,28,42
2023-03-20 09:25,42,100.00,23,36
2023-03-20 09:25,44,74.18,28,41
2023-03-20 09:20,37,100.00,28,38
2023-03-20 09:15,48,76.12,32,43
2023-03-20 09:10,55,100.00,24,39
2023-03-20 09:10,40,41.67,29,44
2023-03-20 09:05,52,100.00,26,34
2023-03-20 09:05,40,82.69,25,36
2023-03-20 09:00,36,100.00,27,40
2023-03-20 09:00,47,71.03,32,46
2023-03-20 08:55,38,100.00,30,39
2023-03-20 08:55,47,78.45,27,37
2023-03-20 08:50,40,100.00,25,33
2023-03-20 08:45,41,82.29,25,35
2023-03-20 08:40,51,100.00,23,37
2023-03-20 08:40,61,68.98,30,41
2023-03-20 08:35,41,100.00,24,33
2023-03-20 08:35,50,71.32,25,37
2023-03-20 08:30,54,100.00,25,32
2023-03-20 08:30,64,65.88,25,37
2023-03-20 08:25,57,100.00,23,30
2023-03-20 08:25,49,73.27,22,34
2023-03-20 08:20,58,100.00,26,36
2023-03-20 08:15,50,79.39,27,39
2023-03-20 08:10,62,100.00,26,35
2023-03-20 08:10,67,69.54,29,41
2023-03-20 08:05,45,100.00,21,30
2023-03-20 08:05,54,82.18,25,36
2023-03-20 08:00,42,100.00,24,33
2023-03-20 08:00,50,50.09,26,36
2023-03-20 07:55,59,100.00,26,34
2023-03-20 07:55,42,73.65,26,41
2023-03-20 07:50,49,100.00,24,36
2023-03-20 07:45,39,74.71,28,39
2023-03-20 07:40,58,100.00,27,36
2023-03-20 07:40,46,65.06,34,47
2023-03-20 07:35,41,100.00,26,37
2023-03-20 07:35,47,67.37,25,40
2023-03-20 07:30,54,100.00,26,36
2023-03-20 07:30,41,57.68,29,45
2023-03-20 07:25,40,100.00,22,34
2023-03-20 07:25,33,64.35,24,39
2023-03-20 07:20,48,100.00,27,41
